PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
07-03-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.834311,26.58904,,23.028284,17.196569,23.372961,28.153343,28.404294,29.802719,39.792542,40.606726,46.242687,53.935223,73.009368,69.900616,78.913958,81.799704,65.547485,56.310659,41.57981,44.388399,39.010155,37.161891,45.824148,34.240027
07-04-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.105177,25.794613,,24.04786,24.643357,20.082063,25.461738,15.703039,22.962089,26.447406,29.810045,40.217446,48.840727,46.756888,44.968052,66.216049,85.804558,103.522756,54.594513,40.128953,36.639758,32.458132,32.340352,35.284984,33.257139
06-14-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.729509,25.546353,,23.540284,10.180847,23.727803,27.475837,26.453133,28.59574,29.551604,30.802005,32.661288,32.610244,31.577343,32.751884,32.251996,44.874581,36.853007,37.55633,36.566919,32.69199,30.773298,31.294981,29.347817,26.182697
06-15-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.297427,25.468719,,26.222049,7.399704,17.61611,24.598227,23.580727,30.301559,29.847804,31.926619,33.858897,40.23653,40.796849,43.063248,39.665383,43.863183,42.518877,44.248407,39.494447,36.392802,36.156117,39.392175,31.464528,30.310318
06-16-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.112728,27.800614,,25.555422,23.635618,21.44719,15.952095,2.681999,20.752419,26.199074,26.478017,28.340117,34.603135,41.66694,37.704021,38.68527,37.676864,36.798394,37.4401,39.329432,40.006337,43.804289,65.190448,39.163354,32.702783
06-17-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.81127,27.715617,,26.788104,25.566974,26.638928,28.156734,29.357604,31.195227,35.406671,49.428388,64.936035,66.730295,66.283192,99.135881,92.471056,65.183746,68.31261,58.51433,50.747569,49.678393,55.736962,68.862013,43.254455,34.247126
06-18-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,29.89613,29.098986,,26.177886,25.883576,26.564034,30.95237,27.682385,30.207069,36.334302,34.88032,41.457464,42.031961,39.844767,38.458971,38.739746,38.621492,37.288357,33.638904,33.538199,31.189927,30.288439,28.896975,25.953957,23.293706
06-19-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.633806,25.613998,,24.067472,23.669304,23.59222,25.175858,23.253212,26.318815,27.993215,29.137646,30.235805,31.022106,32.65942,36.794462,37.224464,35.425511,42.753294,43.193474,42.417149,33.266161,30.691386,30.963648,27.967415,25.425933
06-20-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,21.678867,16.401591,,22.85605,19.172959,23.105437,23.777202,24.795641,26.288306,28.683631,30.485809,34.772897,36.315143,39.32777,49.313185,46.491677,45.852431,62.748943,55.006922,43.698678,46.396411,37.315279,34.153698,31.972926,28.770344
05-24-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.8711,32.616459,,25.482671,25.152519,25.610401,26.087433,28.700399,33.19504,37.907075,40.944309,37.550184,35.685017,34.73866,33.725541,33.254099,32.095093,31.479702,31.825762,30.581338,29.26027,31.167243,30.375594,26.200652,22.647922
05-25-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.00924,27.044768,,24.625333,18.841019,25.050481,24.574561,13.99135,25.040249,29.553908,32.498611,31.797635,31.793222,30.238147,26.891068,25.91348,26.877325,27.219476,28.868201,28.6506,28.077194,32.974611,33.921856,27.084131,19.073542
05-26-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.941626,24.476724,,11.890556,21.509455,26.521132,22.863435,6.332381,23.073708,29.488252,29.470347,26.530244,26.228433,26.553437,26.801298,26.341432,26.195274,27.187709,30.224459,29.663034,25.990528,28.63005,31.645961,26.108194,13.495186
05-27-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,16.966453,8.144179,,20.841285,16.520149,1.24196,9.463894,1.031971,14.155258,25.292135,26.746355,27.51168,31.29576,31.677175,31.650687,32.060296,32.572374,31.826517,33.465173,32.602408,31.634662,41.412904,39.731563,29.936149,23.495582
05-28-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,14.290805,26.067114,,24.42397,23.950004,25.497636,24.273649,31.407852,32.916056,34.233791,35.908066,36.383751,43.943629,40.323021,33.08712,39.572306,61.805266,22.145323,33.14199,44.479865,44.666386,47.166478,44.325218,35.3891,33.140872
05-29-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.508662,26.81372,,22.964612,24.15688,23.312373,22.065459,26.681139,30.534379,33.011305,36.843353,38.056184,35.656079,40.439869,49.03299,54.345483,46.912806,64.962717,75.447209,54.741531,57.174633,67.305475,95.549679,38.027173,33.804555
05-30-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,32.505282,31.281045,,23.021171,10.769916,23.491765,26.913448,29.736204,38.982756,37.900036,45.342133,48.313074,60.056684,52.730692,76.224599,72.22427,99.973497,97.946835,51.227955,54.363635,51.259352,53.079344,91.279409,47.513702,44.219923
12-27-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,31.859018,29.725053,,29.912239,29.864229,29.229072,29.062124,32.39843,35.541542,42.744013,36.857626,35.527835,33.237785,31.606881,30.125416,26.213666,28.008226,29.448312,36.004195,34.930633,35.82136,37.871467,33.860642,31.746874,28.434597
12-28-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.192618,29.397683,,32.139669,27.94655,31.285617,37.155592,34.112423,31.740327,33.677921,34.094485,31.696526,30.683656,28.119528,25.888576,24.607426,25.179534,28.654508,36.404228,32.051206,31.220823,30.876043,28.409899,26.594234,16.016763
12-29-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.25243,23.790865,,25.013898,24.355159,24.23343,23.231724,23.593829,25.105299,26.270984,29.944385,31.395017,32.191416,32.781511,32.126299,30.861705,28.220296,30.648628,33.341363,32.691792,32.445526,32.22033,30.548132,28.977759,25.401565
12-30-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.207491,24.388587,,24.415478,24.89053,24.807811,20.326161,13.411332,22.383026,25.054775,25.936615,29.814864,32.970762,31.428917,31.280702,30.978595,31.186454,31.434475,37.671311,36.882948,35.364438,34.641303,32.52054,30.579623,28.210336
12-31-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,34.165773,31.676867,,30.947879,30.840067,29.655259,28.50129,30.946631,34.35607,37.742007,39.213687,36.842252,40.948174,34.223708,34.61553,32.357309,32.001271,33.495934,84.413801,58.927547,79.325572,34.889055,33.448914,33.330267,39.632714
01-01-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,41.377314,37.350768,,34.241127,37.285672,37.660431,32.914086,31.641449,31.970294,31.698583,31.631871,32.404289,32.711379,31.894087,31.194192,31.219197,30.477273,31.677861,51.57075,42.302616,39.561689,50.408484,34.820419,31.574443,31.295026
01-02-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,31.023659,30.255482,,30.035273,30.697722,29.717101,29.758167,34.631673,58.265335,58.508934,96.553467,39.397136,69.183494,49.269134,57.113561,56.649479,94.034425,74.412843,272.553195,173.048908,104.329295,82.051449,156.735902,45.708684,124.397933
11-08-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.671587,26.567204,,26.446733,26.965623,28.021841,28.080834,33.833767,37.673463,34.01961,33.199676,37.609093,40.784161,40.176002,33.241535,32.099689,31.802541,33.55897,66.507131,56.334433,52.505796,52.58426,39.354207,30.673337,30.538353
11-09-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,32.794634,43.095552,,32.264022,34.141173,33.989981,31.852269,29.665661,29.587219,34.837123,45.039674,28.858899,26.774701,26.902234,27.008579,26.609617,27.945339,30.879918,49.691823,31.065919,29.370708,29.270446,26.253815,25.963182,25.896585
11-10-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.290544,24.868689,,24.994663,24.937646,24.258988,25.314054,25.725218,24.114121,24.601605,24.400871,24.394231,25.539278,25.837372,25.927936,25.672276,25.741821,26.602596,57.760845,38.21106,48.016874,32.287998,26.78981,25.016317,24.28131
11-11-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.692055,24.686015,,25.5928,25.606395,25.93873,27.373145,33.582653,29.825144,30.54712,30.695583,32.518155,31.91811,29.571876,29.404727,28.186905,29.715167,45.27387,96.14893,34.187754,33.415781,34.402096,30.518199,27.20283,24.724376
11-12-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,24.52096,24.817588,,24.579781,25.02014,25.446016,25.877476,28.626496,29.426279,31.448684,32.084635,33.781136,36.905017,33.555557,34.627462,35.167677,41.395748,48.668212,60.772126,55.29269,66.126889,63.786975,36.720941,34.227462,31.531828
11-13-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,35.96873,39.89021,,40.414657,39.224462,34.039142,35.886335,57.381296,46.466406,33.42742,37.782194,36.969431,35.382528,33.416404,31.415577,29.084915,30.30608,39.918567,137.545957,34.973808,41.339993,54.711062,43.418172,35.096682,33.901025
11-14-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,29.954551,32.959163,,39.343416,35.540857,34.878723,51.046907,109.463682,38.573025,38.649309,34.166128,31.888953,28.479519,26.276535,25.708316,19.427739,24.192573,27.542111,109.190387,27.615045,31.339976,31.993583,28.74984,26.790118,25.127142
09-20-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,23.609413,27.069329,,25.146368,24.44221,25.443707,27.410834,39.226933,31.968781,31.167701,33.689539,36.263926,48.115639,46.599721,64.049953,41.058455,40.082417,41.824958,36.211724,35.52289,54.289291,42.234703,30.519428,28.517699,26.843003
09-21-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.083881,25.550937,,24.45953,23.668528,23.56272,25.019908,25.151861,24.894626,28.609473,30.79011,30.134893,31.241143,29.12489,29.431737,28.613262,27.410212,29.295799,29.64456,30.172959,46.360071,34.538357,30.965418,28.346162,22.925693
09-22-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.249875,25.070387,,10.905005,19.152759,22.401728,21.351802,25.474467,24.282315,25.431893,26.885151,25.404524,26.804321,27.588936,27.989709,27.224479,26.780178,27.451306,27.204499,28.176206,42.015091,32.266046,26.198758,19.968468,21.633557
09-23-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,10.288119,4.03286,,9.935729,10.07642,23.262485,27.959751,27.612211,27.781791,28.314446,31.557664,29.735094,29.389195,30.432632,35.514419,29.16596,26.604383,29.211819,29.950344,30.251641,32.469059,33.24785,26.492573,22.598443,24.078658
09-24-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,18.351009,22.091721,,20.609728,22.306956,24.120284,26.998468,38.927813,29.978865,29.003585,31.934076,31.014369,30.281833,31.292272,29.861969,30.935098,31.130587,34.281616,30.984168,30.221764,52.146851,33.306361,27.564311,23.613508,24.510639
09-25-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,19.439338,23.658509,,22.643287,22.592244,23.822859,26.471239,29.929727,31.269246,27.48584,29.741734,31.475579,37.903858,30.560569,36.185809,30.143074,28.282683,35.254982,31.509628,29.774663,37.818084,32.971933,27.815104,26.470727,24.141406
09-26-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,21.504234,19.976924,,21.091179,21.669504,23.582203,26.197905,34.537135,31.412294,29.015533,30.964658,32.505865,33.52701,37.861587,36.394784,36.427342,30.706092,30.079852,29.82442,31.078498,43.541474,39.89266,30.847235,26.901775,26.085441
04-01-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.099958,25.815673,,24.663124,24.545579,25.149185,27.808137,31.748999,30.462509,32.496085,36.554636,29.414065,31.864258,30.604962,29.708485,28.637845,26.43434,26.550861,25.832507,25.448582,27.119379,34.859813,34.373092,31.176123,28.516796
04-02-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,27.366772,28.044407,,27.685883,28.400052,29.22999,32.754578,39.997241,41.092627,38.613886,31.337897,37.00335,33.255031,33.895885,32.284914,30.863395,28.566017,27.777469,27.803379,30.014168,36.062197,77.939966,43.828918,36.476217,34.981942
04-03-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,34.397273,32.681257,,33.326572,33.812077,33.140073,35.738091,67.320314,66.584134,48.796305,31.090717,36.928931,37.578228,26.633211,29.343234,28.827042,24.951166,29.219914,30.968122,31.164588,25.634497,61.135784,35.794691,35.96271,32.628284
04-04-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,31.558742,32.162716,,30.930971,31.08921,32.454847,40.764892,71.292268,64.396015,40.798082,39.986467,56.648346,39.760475,34.16227,35.908072,36.016587,31.725677,31.987923,28.541217,31.810149,42.961194,47.59698,48.556128,30.589312,30.505258
01-10-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,33.645674,35.369677,,33.54249,33.295471,32.464246,32.092161,39.084985,43.728851,45.97396,49.734127,70.867078,54.851502,59.237558,43.640781,42.244304,37.886159,37.803696,91.499108,36.644939,38.155284,34.323676,33.008618,30.383047,30.514508
01-11-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,27.911978,30.387776,,29.43516,28.028785,28.342187,29.787842,28.533755,31.119,39.378892,46.474229,74.880796,68.573743,42.882893,41.161555,34.796721,32.284737,50.038621,43.632287,38.127469,33.380445,32.455477,30.212439,29.193347,29.859106
01-12-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,28.230914,26.470611,,25.339792,26.854617,27.162812,28.407443,28.444027,29.206153,31.642374,33.178355,34.646846,37.273416,32.474083,32.008123,30.64346,29.779847,31.097525,73.859874,59.760651,40.416857,41.954704,40.394493,34.018061,33.804885
01-13-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,37.028489,33.995763,,34.944924,35.10969,29.728049,39.32915,62.064158,55.819714,42.422024,36.802301,34.381254,36.438864,31.652807,31.081113,30.023934,29.513168,30.70636,62.405083,30.104577,28.511602,31.505052,29.947773,25.454116,26.314823
01-14-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,23.583332,28.947717,,24.789817,20.863008,19.153773,26.314866,28.990805,30.420088,27.50095,28.116564,31.439439,31.249795,31.202893,30.57773,29.425334,29.771548,30.44905,31.943849,31.238607,30.723286,30.985529,30.026972,26.482519,27.620103
01-15-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,27.417614,27.107926,,27.262309,27.680483,28.653437,22.07769,36.932512,46.621408,40.097987,39.415538,35.193111,34.207412,33.383249,32.113386,30.821583,32.476238,49.019689,44.5338,41.66318,36.273106,37.732892,34.112353,30.090822,28.9818
01-16-2014,0,null,51297,PECO,AGGREGATE,TotalLMP,30.446552,29.872769,,29.436328,30.031689,27.846045,30.03018,36.940977,49.939874,37.67782,42.006882,45.98821,40.174454,32.098121,30.799079,32.114569,33.067908,36.741498,42.403179,44.228538,51.201924,45.44166,44.951506,34.126531,32.525666
12-06-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,26.824457,24.469475,,25.817791,25.80894,26.679537,27.616914,30.749372,42.53664,48.065061,53.59808,47.345422,69.815793,42.893508,43.489428,35.849647,33.296451,40.329731,45.272931,36.132764,37.442063,37.459496,37.445204,34.147012,31.041682
12-07-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,30.698335,29.153715,,28.761809,28.959271,28.856984,29.371456,30.485782,31.33092,32.950848,35.854966,32.306503,35.209864,33.027758,32.311697,31.153601,30.254082,44.174636,75.780524,37.95805,40.051693,39.5452,39.129386,38.845128,37.371425
12-08-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,37.891416,44.634542,,50.387389,37.15796,35.484747,35.475209,32.01738,36.358196,37.437953,44.474926,42.713887,80.686904,55.635588,47.691097,40.508155,41.218362,77.249587,80.747497,66.549064,70.664985,67.11638,54.998339,38.52314,34.793071
12-09-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,33.512224,30.812666,,31.683694,32.129948,32.113187,33.240717,36.363655,40.70635,41.111564,54.076492,45.782548,47.496311,40.182062,39.662443,38.473243,49.785925,61.898233,131.273701,58.824597,60.964028,71.079365,49.153721,38.457607,40.972744
12-10-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,34.435537,33.038218,,32.06251,31.307855,32.433329,34.565013,42.164454,54.545872,42.522376,48.875013,57.348256,50.469531,55.842565,46.270798,38.435004,39.518878,34.122189,100.386028,61.502556,63.247394,51.749999,61.327678,39.365774,43.448381
12-11-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,43.139969,39.651675,,41.175242,42.376036,46.294263,38.244057,73.589954,43.393311,51.919468,46.643752,45.74976,41.21614,42.363099,38.045051,37.95462,38.836725,43.778044,73.433526,55.899002,61.353947,64.141795,56.060443,38.926823,38.616585
12-12-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,39.890205,39.326988,,38.144491,37.76353,42.209426,44.524783,68.890601,71.270022,64.623855,77.617336,37.87408,43.620006,51.554095,42.455008,54.618737,51.829787,59.532558,110.843304,112.152838,111.83894,105.088542,83.298287,46.699883,67.273043
06-21-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,25.314124,25.042827,,6.761582,11.725528,23.340571,22.800791,23.826093,26.589079,28.999123,30.674429,35.058864,42.584507,39.910846,41.528764,46.010481,47.784646,48.063846,40.649011,35.694276,34.485046,33.481961,31.773146,30.687266,29.724764
06-22-2013,0,null,51297,PECO,AGGREGATE,TotalLMP,28.238448,24.625782,,24.978844,8.348385,0.431429,0.344174,1.771858,26.636017,28.377344,28.434476,31.839976,42.534876,43.788239,43.96255,40.293904,38.256428,40.935645,40.829435,37.779804,36.587072,36.983867,33.991361,30.104356,29.652444
